"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"18.12.2020","725,13","721,85","727,90","718,65","0,50%"
"17.12.2020","721,53","734,17","734,17","720,03","-1,67%"
"16.12.2020","733,80","736,13","737,61","731,96","-0,27%"
"15.12.2020","735,75","735,34","737,45","729,65","0,09%"
"14.12.2020","735,10","734,28","736,18","729,18","0,15%"
"11.12.2020","734,03","734,75","737,77","730,17","-0,06%"
"10.12.2020","734,50","743,20","743,20","733,68","-1,14%"
"09.12.2020","742,95","744,92","745,15","737,18","-0,18%"
"08.12.2020","744,30","745,22","745,38","741,73","-0,04%"
"07.12.2020","744,60","743,91","748,44","740,29","0,14%"
"04.12.2020","743,53","750,61","751,38","743,48","-0,91%"
"03.12.2020","750,36","755,97","756,00","749,89","-0,71%"
"02.12.2020","755,70","760,01","760,14","752,28","-0,52%"
"01.12.2020","759,68","763,42","763,42","757,16","-0,13%"
"30.11.2020","760,70","768,65","770,07","760,33","-0,97%"
"27.11.2020","768,15","766,35","769,32","761,97","0,40%"
"26.11.2020","765,10","764,80","768,33","763,17","0,07%"
"25.11.2020","764,60","773,80","775,12","764,39","-1,16%"
"24.11.2020","773,60","773,94","777,15","767,98","-0,02%"
"23.11.2020","773,74","764,13","774,32","759,10","1,28%"
"20.11.2020","763,93","759,16","766,34","753,47","0,66%"
"19.11.2020","758,93","758,30","762,41","757,29","0,11%"
"18.11.2020","758,08","763,21","764,00","756,18","-0,64%"
"17.11.2020","762,98","766,53","770,43","762,96","-0,41%"
"16.11.2020","766,10","767,08","771,05","762,83","-0,09%"
"13.11.2020","766,80","761,08","769,76","761,05","0,80%"
"12.11.2020","760,75","754,70","761,64","752,85","0,87%"
"11.11.2020","754,20","754,73","760,23","750,08","-0,00%"
"10.11.2020","754,23","757,55","763,67","754,38","-0,39%"
"09.11.2020","757,18","751,49","761,01","747,22","0,81%"
"06.11.2020","751,12","756,10","764,55","751,26","-0,61%"
"05.11.2020","755,73","754,15","757,22","747,51","0,27%"
