Comuna,Region
arica,15
arica re-ingreso urbano,15
camarones,15
general lagos,15
putre,15
alto hospicio,1
iquique,1
camina,1
colchane,1
huara,1
pica,1
pozo almonte,1
pozo almonte (radio urbano),1
antofagasta,2
antofagasta re-ingreso ciudad,2
mejillones,2
mejillones re-ingreso urbano,2
sierra gorda,2
taltal,2
calama,2
ollague,2
san pedro de atacama,2
maria elena,2
tocopilla,2
chanaral,3
diego de almagro,3
caldera,3
copiapo,3
tierra amarilla,3
alto del carmen,3
freirina,3
huasco,3
vallenar,3
canela,4
illapel,4
los vilos,4
salamanca,4
andacollo,4
coquimbo,4
la higuera,4
la serena,4
paihuaco,4
vicuna,4
combarbala,4
monte patria,4
ovalle,4
punitaqui,4
rio hurtado,4
isla de pascua,5
rapa nui,5
calle larga,5
los andes,5
rinconada,5
san esteban,5
la ligua,5
papudo,5
petorca,5
zapallar,5
hijuelas,5
la calera,5
la cruz,5
limache,5
nogales,5
olmue,5
quillota,5
algarrobo,5
cartagena,5
el quisco,5
el tabo,5
san antonio,5
santo domingo,5
catemu,5
llaillay,5
panquehue,5
putaendo,5
san felipe,5
santa maria,5
casablanca,5
concon,5
juan fernandez,5
puchuncavi,5
quilpue,5
quintero,5
valparaiso,5
villa alemana,5
vina del mar,5
cabildo,5
colina,10
lampa,10
tiltil,10
tiltil (area urbana),10
pirque,10
puente alto,10
independencia sur (re-ingreso),10
independencia extension a total,10
la pintana norte,10
santiago extension a total,10
la pintana extension a total,10
san ramon extension a total,10
puente alto poniente extendido,10
san bernardo nororiente extendido,10
las condes re-ingreso total,10
lo barnechea re-ingreso total,10
vitacura re-ingreso total,10
nunoa re-ingreso total,10
puente alto extension a total,10
quilicura extension a total,10
san bernardo extension a total,10
providencia re-ingreso total,10
san jose de maipo (area urbana),10
puente alto poniente,10
melipilla (area urbana),10
san jose de maipo,10
buin,10
calera de tango,10
paine,10
san bernardo,10
san bernardo nororiente,10
alhue,10
curacavi,10
curacavi (area urbana),10
maria pinto,10
melipilla,10
san pedro,10
cerrillos,10
cerro navia,10
conchali,10
el bosque,10
estacion central,10
huechuraba,10
independencia,10
la cisterna,10
la granja,10
la florida,10
la pintana,10
la reina,10
las condes,10
lo barnechea,10
lo espejo,10
lo prado,10
macul,10
maipu,10
nunoa,10
nunoa norte,10
pedro aguirre cerda,10
penalolen,10
providencia,10
pudahuel,10
quilicura,10
quinta normal,10
recoleta,10
renca,10
san miguel,10
san joaquin,10
san ramon,10
san ramon sur,10
santiago,10
santiago norte,10
vitacura,10
el monte,10
isla de maipo,10
padre hurtado,10
penaflor,10
talagante,10
codegua,6
coinco,6
coltauco,6
donihue,6
graneros,6
las cabras,6
machali,6
malloa,6
mostazal,6
olivar,6
peumo,6
pichidegua,6
quinta de tilcoco,6
rancagua,6
rengo,6
requinoa,6
san vicente de tagua tagua,6
la estrella,6
litueche,6
marchihue,6
navidad,6
peredones,6
pichilemu,6
chepica,6
chimbarongo,6
lolol,6
nancagua,6
palmilla,6
peralillo,6
placilla,6
pumanque,6
san fernando,6
santa cruz,6
cauquenes,7
chanco,7
pelluhue,7
curico,7
curico (area urbana),7
hualane,7
licanten,7
molina,7
rauco,7
romeral,7
sagrada familia,7
teno,7
vichuquen,7
colbun,7
linares,7
longavi,7
parral,7
retiro,7
san javier,7
villa alegre,7
yerbas buenas,7
constitucion,7
curepto,7
empedrado,7
maule,7
pelarco,7
pencahue,7
rio claro,7
san clemente,7
san rafael,7
talca,7
arauco,8
canete,8
contulmo,8
curanilahue,8
lebu,8
los alamos,8
tirua,8
alto biobio,8
antuco,8
cabrero,8
laja,8
los angeles,8
mulchen,8
nacimiento,8
negrete,8
quilaco,8
quilleco,8
san rosendo,8
santa barbara,8
tucapel,8
yumbel,8
chiguayante,8
concepcion,8
coronel,8
florida,8
hualpen,8
hualqui,8
lota,8
penco,8
san pedro de la paz,8
santa juana,8
talcahuano,8
tome,8
bulnes,16
chillan,16
chillan viejo,16
cobquecura,16
coelemu,16
coihueco,16
el carmen,16
ninhue,16
niquen,16
pemuco,16
pinto,16
portezuelo,16
quillon,16
quirihue,16
ranquil,16
san carlos,16
san fabian,16
san ignacio,16
san nicolas,16
treguaco,16
yungay,16
carahue,9
cholchol,9
cunco,9
curarrehue,9
freire,9
galvarino,9
gorbea,9
lautaro,9
loncoche,9
melipeuco,9
nueva imperial,9
padre las casas,9
perquenco,9
pitrufquen,9
pucon,9
saavedra,9
temuco,9
teodoro schmidt,9
tolten,9
vilcun,9
villarrica,9
angol,9
collipulli,9
curacautin,9
ercilla,9
lonquimay,9
puerto saavedra,9
reinaco,9
chol chol,9
los sauces,9
lumaco,9
puren,9
renaico,9
traiguen,9
victoria,9
corral,11
lanco,11
los lagos,11
mafil,11
mariquina,11
paillaco,11
panguipulli,11
valdivia,11
futrono,11
la union,11
lago ranco,11
rio bueno,11
ancud,12
castro,12
chonchi,12
curaco de velez,12
dalcahue,12
puqueldon,12
queilen,12
quemchi,12
quellon,12
quinchao,12
calbuco,12
cochamo,12
fresia,12
frutillar,12
llanquihue,12
los muermos,12
maullin,12
puerto montt,12
puerto varas,12
osorno,12
puero octay,12
purranque,12
puyehue,12
rio negro,12
san juan de la costa,12
san pablo,12
chaiten,12
futaleufu,12
hualaihue,12
palena,12
aisen,13
cisnes,13
guaitecas,13
cochrane,13
o\higgins,13
tortel,13
coihaique,13
lago verde,13
chile chico,13
rio ibanez,13
caleta tortel,13
coyhaique,13
antartica,14
cabo de hornos,14
laguna blanca,14
punta arenas,14
punta arenas re-ingreso,14
rio verde,14
san gregorio,14
porvenir,14
primavera,14
timaukel,14
natales,14
torres del paine,14
puerto williams,14
puerto natales,14
