interanual,acum enero,var mensual,fecha,item
2.7,2.6,-0.1,2020-11-01,IPC General
3,2.8,0.7,2020-10-01,IPC General
3.1,2.1,0.6,2020-09-01,IPC General
2.5,1.4,0.1,2020-08-01,IPC General
2.5,1.3,0.1,2020-07-01,IPC General
2.6,1.2,-0.1,2020-06-01,IPC General
2.8,1.3,-0.1,2020-05-01,IPC General
3.4,1.3,-0.1,2020-04-01,IPC General
3.7,1.4,0.3,2020-03-01,IPC General
3.9,1,0.5,2020-02-01,IPC General
3.5,0.6,0.6,2020-01-01,IPC General
3,3,0.1,2019-12-01,IPC General
2.8,2.9,0.1,2019-11-01,IPC General
6.8,7.4,0.2,2020-11-01,Alimentos y bebidas no alcohólicas
8,7.2,0.6,2020-10-01,Alimentos y bebidas no alcohólicas
8.3,6.6,1.8,2020-09-01,Alimentos y bebidas no alcohólicas
6.3,4.7,0.2,2020-08-01,Alimentos y bebidas no alcohólicas
6.8,4.5,0.6,2020-07-01,Alimentos y bebidas no alcohólicas
6.4,3.9,0.3,2020-06-01,Alimentos y bebidas no alcohólicas
6.6,3.5,-0,2020-05-01,Alimentos y bebidas no alcohólicas
6.6,3.6,1,2020-04-01,Alimentos y bebidas no alcohólicas
6.1,2.6,0.8,2020-03-01,Alimentos y bebidas no alcohólicas
6.1,1.8,0.7,2020-02-01,Alimentos y bebidas no alcohólicas
5.1,1,1,2020-01-01,Alimentos y bebidas no alcohólicas
3.7,3.7,-0.5,2019-12-01,Alimentos y bebidas no alcohólicas
3.5,4.3,1.3,2019-11-01,Alimentos y bebidas no alcohólicas
3.2,3.6,-0.3,2020-11-01,Bebidas alcohólicas y tabaco
3.4,3.9,1.1,2020-10-01,Bebidas alcohólicas y tabaco
3.3,2.8,-0.5,2020-09-01,Bebidas alcohólicas y tabaco
4.9,3.2,0.6,2020-08-01,Bebidas alcohólicas y tabaco
4.4,2.7,1.1,2020-07-01,Bebidas alcohólicas y tabaco
2.9,1.5,-0.3,2020-06-01,Bebidas alcohólicas y tabaco
3.1,1.8,-0.3,2020-05-01,Bebidas alcohólicas y tabaco
4.1,2.1,1.4,2020-04-01,Bebidas alcohólicas y tabaco
2.4,0.6,-0.3,2020-03-01,Bebidas alcohólicas y tabaco
2.8,0.9,-0.4,2020-02-01,Bebidas alcohólicas y tabaco
3.3,1.3,1.3,2020-01-01,Bebidas alcohólicas y tabaco
3.7,3.7,-0.4,2019-12-01,Bebidas alcohólicas y tabaco
3.5,4.1,-0.2,2019-11-01,Bebidas alcohólicas y tabaco
-3.3,-2,-4.9,2020-11-01,Vestido y calzado
1.6,3,3.6,2020-10-01,Vestido y calzado
-1.4,-0.5,1.7,2020-09-01,Vestido y calzado
-2.5,-2.2,2.3,2020-08-01,Vestido y calzado
-4.1,-4.4,-0.3,2020-07-01,Vestido y calzado
-3,-4.1,-0.7,2020-06-01,Vestido y calzado
-2.7,-3.4,-0.8,2020-05-01,Vestido y calzado
-2.4,-2.7,-3.2,2020-04-01,Vestido y calzado
0.3,0.6,0.6,2020-03-01,Vestido y calzado
-0.5,-0,2.4,2020-02-01,Vestido y calzado
-0.4,-2.4,-2.4,2020-01-01,Vestido y calzado
1.8,1.8,-1.3,2019-12-01,Vestido y calzado
1.6,3.2,-0.1,2019-11-01,Vestido y calzado
2.2,1.6,-0.2,2020-11-01,Vivienda
1.6,1.7,0.7,2020-10-01,Vivienda
2.4,1,0.1,2020-09-01,Vivienda
2.4,1,0.3,2020-08-01,Vivienda
1.9,0.7,-0.3,2020-07-01,Vivienda
2.5,1,0.2,2020-06-01,Vivienda
2.4,0.8,-0,2020-05-01,Vivienda
4.3,0.8,0,2020-04-01,Vivienda
4.5,0.8,0.2,2020-03-01,Vivienda
4.5,0.6,0.3,2020-02-01,Vivienda
4.3,0.3,0.3,2020-01-01,Vivienda
4.3,4.3,0.6,2019-12-01,Vivienda
3.8,3.7,-0.8,2019-11-01,Vivienda
4.7,5.1,-0,2020-11-01,Menaje
5.2,5.1,1,2020-10-01,Menaje
4.4,4,1,2020-09-01,Menaje
3,3,0.3,2020-08-01,Menaje
2.9,2.7,0.2,2020-07-01,Menaje
3.3,2.4,-0.1,2020-06-01,Menaje
3.2,2.5,0.5,2020-05-01,Menaje
