Comuna,Poblacion
Alto Hospicio,145285
Camiña,1262
Colchane,1671
Huara,2991
Iquique,203439
Pica,6645
Pozo Almonte,14936
Antofagasta,406362
Calama,189654
María Elena,4371
Mejillones,12403
Ollagüe,305
San Pedro de Atacama,8476
Sierra Gorda,3359
Taltal,13601
Tocopilla,28507
Alto del Carmen,6829
Caldera,18888
Chañaral,13511
Copiapó,188189
Diego de Almagro,13785
Freirina,7306
Huasco,11093
Tierra Amarilla,18816
Vallenar,54046
Andacollo,11734
Canela,9864
Combarbalá,15649
Coquimbo,257931
Illapel,32964
La Higuera,4893
La Serena,237433
Los Vilos,20723
Monte Patria,34365
Ovalle,127072
Paiguano,4503
Punitaqui,11058
Río Hurtado,4957
Salamanca,27738
Vicuña,27069
Algarrobo,11032
Cabildo,20113
Calle Larga,15947
Cartagena,21036
Casablanca,31296
Catemu,14389
Concón,55805
El Quisco,14479
El Tabo,11346
Hijuela,18400
Isla de Pascua,7582
Juan Fernández,896
La Calera,56067
La Cruz,21790
La Ligua,33803
Limache,46870
Llaillay,25331
Los Andes,69609
Nogales,24079
Olmué,16374
Panquehue,7438
Papudo,5417
Petorca,10432
Puchuncaví,19572
Putaendo,16702
Quillota,99063
Quilpué,181831
Quintero,29931
Rinconada,12013
San Antonio,98299
San Esteban,19859
San Felipe,76103
Santa María,16489
Santo Domingo,9906
Valparaíso,295916
Villa Alemana,155527
Viña del Mar,330898
Zapallar,6274
Chépica,16496
Chimbarongo,38350
Codegua,15143
Coinco,7286
Coltauco,20558
Doñihue,21119
Graneros,35941
La Estrella,3370
Las Cabras,24689
Litueche,6480
Lolol,7100
Machalí,58209
Malloa,13995
Marchihue,7667
Mostazal,27548
Nancagua,17171
Navidad,6013
Olivar,16281
Palmilla,13713
Paredones,6148
Peralillo,11967
Peumo,16464
Pichidegua,20583
Pichilemu,14787
Placilla,9322
Pumanque,3431
Quinta de Tilcoco,13596
Rancagua,235849
Rengo,63820
Requínoa,41359
San Fernando,75329
San Vicente,48318
Santa Cruz,38517
Cauquenes,39223
Chanco,8697
Colbún,19586
Constitución,51412
Curepto,10534
Curicó,150024
Empedrado,4451
Hualañé,10121
Licantén,7188
Linares,91372
Longaví,29165
Maule,71691
Molina,42767
Parral,37839
Pelarco,7958
Pelluhue,7896
Pencahue,8785
Rauco,10358
Retiro,19574
Río Claro,13423
Romeral,15663
Sagrada Familia,19751
San Clemente,42303
San Javier,41156
San Rafael,10412
Talca,239317
Teno,28809
Vichuquén,5066
Villa Alegre,15119
Yerbas Buenas,18542
Alto Biobío,5744
Antuco,3842
Arauco,38521
Bulnes,22133
Cabrero,30173
Cañete,34214
Chiguayante,104382
Chillán,182622
Chillán Viejo,36553
Cobquecura,5584
Coelemu,17164
Coihueco,26159
Concepción,228779
Contulmo,5365
Coronel,120729
Curanilahue,35157
El Carmen,12627
Florida,8433
Hualpén,114833
Hualqui,27670
Laja,24079
Lebu,26791
Los Álamos,25230
Los Ángeles,202214
Lota,46241
Mulchén,30354
Nacimiento,28699
Negrete,10717
Ninhue,5732
Ñiquén,11501
Pemuco,9276
Penco,52695
Pinto,11588
Portezuelo,5575
Quilaco,4040
Quilleco,9654
Quillón,17141
Quirihue,13943
Ránquil,6105
San Carlos,53815
San Fabián,4146
San Ignacio,15611
San Nicolás,11895
San Pedro de la Paz,153562
San Rosendo,3843
Santa Bárbara,12623
Santa Juana,13728
Talcahuano,179670
Tirúa,10528
Tomé,55760
Treguaco,5212
Tucapel,14700
Yumbel,21523
Yungay,18399
Angol,56563
Carahue,26276
Cholchol,12287
Collipulli,24875
Cunco,18724
Curacautín,16907
Curarrehue,7533
Ercilla,9041
Freire,23867
Galvarino,12279
Gorbea,15492
Lautaro,37952
Loncoche,23003
Lonquimay,10981
Los Sauces,7765
Lumaco,11039
Melipeuco,5782
Nueva Imperial,33976
Padre Las Casas,98459
Perquenco,7421
Pitrufquén,25184
Pucón,29991
Purén,12710
Renaico,10942
Saavedra,12289
Temuco,298974
Teodoro Schmidt,16028
Toltén,11232
Traiguén,19473
Victoria,34674
Vilcún,29264
Villarrica,57753
Ancud,44568
Calbuco,35821
Castro,50483
Chaitén,4817
Chonchi,15860
Cochamó,3899
Curaco de Vélez,4356
Dalcahue,16839
Fresia,12418
Frutillar,17415
Futaleufú,3542
Hualaihué,11638
Llanquihue,18291
Los Muermos,15887
Maullín,15316
Osorno,158259
Palena,2109
Puerto Montt,265292
Puerto Octay,9026
Puerto Varas,42812
Puqueldón,3837
Purranque,21001
Puyehue,10734
Queilén,5531
Quellón,33445
Quemchi,8947
Quinchao,8558
Río Negro,12855
San Juan de la Costa,6941
San Pablo,10318
Aysén,29212
Chile Chico,5233
Cisnes,5408
Cochrane,3480
Coyhaique,63343
Guaitecas,1781
Lago Verde,941
O´Higgins,762
Río Ibáñez,2240
Tortel,702
Antártica,222
Cabo de Hornos,3035
Laguna Blanca,550
Natales,22267
Porvenir,8273
Primavera,495
Punta Arenas,132654
Río Verde,79
San Gregorio,252
Timaukel,144
Torres del Paine,722
Alhué,6179
Buin,90292
Calera de Tango,26941
Cerrillos,89544
Cerro Navia,158670
Colina,140475
Conchalí,140988
Curacaví,31274
El Bosque,196166
El Monte,39125
Estación Central,148400
Huechuraba,103549
Independencia,89493
Isla de Maipo,38916
La Cisterna,93480
La Florida,390403
La Granja,144260
La Pintana,217034
La Reina,101518
Lampa,114237
Las Condes,290869
Lo Barnechea,115313
Lo Espejo,120148
Lo Prado,113748
Macul,125855
Maipú,571632
María Pinto,13728
Melipilla,123669
Ñuñoa,242287
Padre Hurtado,62906
Paine,73044
Pedro Aguirre Cerda,122600
Peñaflor,98603
Peñalolén,246871
Pirque,23979
Providencia,155166
Pudahuel,244395
Puente Alto,647428
Quilicura,248306
Quinta Normal,117930
Recoleta,172820
Renca,155465
San Bernardo,312169
San Joaquín,105409
San José  de Maipo,15329
San Miguel,122562
San Pedro,10323
San Ramón,100025
Santiago,430114
Talagante,73748
Tiltil,18409
Vitacura,89085
Corral,5776
Futrono,16830
La Unión,44157
Lago Ranco,10947
Lanco,18396
Los Lagos,23229
Máfil,7445
Mariquina,23448
Paillaco,21217
Panguipulli,36923
Río Bueno,32781
Valdivia,176840
Arica,255390
Camarones,791
General Lagos,502
Putre,2095
