"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.12.2020","21.059,56","20.994,56","21.244,12","20.994,56","-","0,31%"
"17.12.2020","20.994,56","20.590,06","20.999,44","20.588,45","-","1,96%"
"16.12.2020","20.590,06","20.359,09","20.615,16","20.359,09","-","1,13%"
"15.12.2020","20.359,09","20.334,41","20.471,17","20.280,53","-","0,12%"
"14.12.2020","20.334,41","20.473,05","20.661,52","20.318,94","-","-0,68%"
"11.12.2020","20.473,05","20.564,12","20.637,14","20.338,58","-","-0,44%"
"10.12.2020","20.564,12","20.752,19","20.899,63","20.564,09","-","-0,91%"
"09.12.2020","20.752,19","20.656,26","20.935,29","20.639,09","-","0,46%"
"07.12.2020","20.656,26","20.933,36","20.957,23","20.449,25","-","-1,32%"
"04.12.2020","20.933,36","20.929,88","21.034,65","20.862,84","-","0,02%"
"03.12.2020","20.929,88","20.769,53","20.932,04","20.710,79","-","0,77%"
"02.12.2020","20.769,53","20.567,70","20.777,30","20.495,38","-","0,98%"
"01.12.2020","20.567,70","20.229,06","20.585,71","20.229,06","-","1,67%"
"30.11.2020","20.229,06","20.593,35","20.747,24","20.228,34","-","-1,77%"
"27.11.2020","20.593,35","20.605,57","20.763,43","20.573,62","-","-0,06%"
"26.11.2020","20.605,57","20.669,94","20.793,60","20.485,74","-","-0,31%"
"25.11.2020","20.669,94","20.926,73","20.976,71","20.642,38","-","-1,23%"
"24.11.2020","20.926,73","20.611,64","20.976,04","20.611,64","-","1,53%"
"23.11.2020","20.611,64","20.263,83","20.611,64","20.263,83","-","1,72%"
"20.11.2020","20.263,83","20.140,53","20.322,12","20.127,63","-","0,61%"
"19.11.2020","20.140,53","20.494,35","20.502,93","20.092,74","-","-1,73%"
"18.11.2020","20.494,35","20.233,88","20.496,48","20.233,88","-","1,29%"
"17.11.2020","20.233,88","20.200,04","20.236,11","19.981,27","-","0,17%"
"16.11.2020","20.200,04","19.994,46","20.410,87","19.994,46","-","1,03%"
"13.11.2020","19.994,46","19.601,24","20.009,89","19.601,24","-","2,01%"
"12.11.2020","19.601,24","19.909,15","19.919,87","19.601,24","-","-1,55%"
"11.11.2020","19.909,15","19.909,51","20.052,51","19.785,57","-","-0,00%"
"10.11.2020","19.909,51","19.693,98","19.915,90","19.519,97","-","1,09%"
"09.11.2020","19.693,98","19.105,92","19.751,89","19.105,92","-","3,08%"
"06.11.2020","19.105,92","18.621,97","19.120,87","18.553,29","-","2,60%"
"05.11.2020","18.621,97","17.807,41","18.635,36","17.807,41","-","4,57%"
"04.11.2020","17.807,41","17.832,48","17.977,93","17.683,54","-","-0,14%"
"03.11.2020","17.832,48","18.052,85","18.188,12","17.766,26","-","-1,22%"
"02.11.2020","18.052,85","17.918,79","18.209,78","17.918,79","-","0,75%"
"30.10.2020","17.918,79","18.136,08","18.201,29","17.908,84","-","-1,20%"
"29.10.2020","18.136,08","18.365,35","18.395,38","18.103,39","-","-1,25%"
"28.10.2020","18.365,35","18.685,64","18.689,59","18.295,99","-","-1,71%"
"27.10.2020","18.685,64","18.732,12","18.929,76","18.590,67","-","-0,25%"
"26.10.2020","18.732,12","19.176,36","19.178,41","18.709,66","-","-2,32%"
"23.10.2020","19.176,36","19.188,24","19.286,20","19.137,13","-","-0,06%"
"22.10.2020","19.188,24","19.073,73","19.216,61","18.971,56","-","0,60%"
"21.10.2020","19.073,73","18.581,74","19.073,73","18.569,79","-","2,65%"
"20.10.2020","18.581,74","18.408,51","18.617,43","18.408,51","-","0,94%"
"19.10.2020","18.408,51","18.457,24","18.610,43","18.408,51","-","-0,26%"
"16.10.2020","18.457,24","18.551,97","18.606,31","18.408,40","-","-0,51%"
"15.10.2020","18.551,97","18.561,71","18.670,74","18.359,21","-","-0,05%"
"14.10.2020","18.561,71","18.520,38","18.566,11","18.443,35","-","0,22%"
"13.10.2020","18.520,38","18.624,21","18.683,27","18.439,54","-","-0,56%"
"09.10.2020","18.624,21","18.497,59","18.682,24","18.429,54","-","0,68%"
"08.10.2020","18.497,59","18.235,02","18.497,59","18.235,02","-","1,44%"
