"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.12.2020","4.210,69","4.199,33","4.251,72","4.199,33","-","0,27%"
"17.12.2020","4.199,33","4.110,99","4.200,52","4.110,60","-","2,15%"
"16.12.2020","4.110,99","4.061,66","4.111,42","4.061,66","-","1,21%"
"15.12.2020","4.061,66","4.052,84","4.084,87","4.041,40","-","0,22%"
"14.12.2020","4.052,84","4.085,89","4.127,62","4.052,46","-","-0,81%"
"11.12.2020","4.085,89","4.106,42","4.123,23","4.054,65","-","-0,50%"
"10.12.2020","4.106,42","4.148,70","4.181,90","4.106,37","-","-1,02%"
"09.12.2020","4.148,70","4.130,41","4.193,63","4.125,72","-","0,44%"
"07.12.2020","4.130,41","4.191,18","4.195,51","4.081,26","-","-1,45%"
"04.12.2020","4.191,18","4.188,80","4.213,34","4.173,49","-","0,06%"
"03.12.2020","4.188,80","4.157,12","4.188,80","4.142,26","-","0,76%"
"02.12.2020","4.157,12","4.110,59","4.157,21","4.091,74","-","1,13%"
"01.12.2020","4.110,59","4.032,87","4.114,11","4.032,87","-","1,93%"
"30.11.2020","4.032,87","4.117,03","4.152,09","4.032,87","-","-2,04%"
"27.11.2020","4.117,03","4.121,96","4.155,86","4.115,57","-","-0,12%"
"26.11.2020","4.121,96","4.135,16","4.165,08","4.091,91","-","-0,32%"
"25.11.2020","4.135,16","4.197,27","4.207,34","4.127,63","-","-1,48%"
"24.11.2020","4.197,27","4.131,26","4.208,96","4.131,26","-","1,60%"
"23.11.2020","4.131,26","4.054,53","4.131,91","4.054,53","-","1,89%"
"20.11.2020","4.054,53","4.028,30","4.067,73","4.024,86","-","0,65%"
"19.11.2020","4.028,30","4.108,79","4.110,32","4.018,53","-","-1,96%"
"18.11.2020","4.108,79","4.053,50","4.109,19","4.053,50","-","1,36%"
"17.11.2020","4.053,50","4.047,42","4.054,93","3.993,50","-","0,15%"
"16.11.2020","4.047,42","4.005,35","4.097,03","4.005,35","-","1,05%"
"13.11.2020","4.005,35","3.916,50","4.007,43","3.916,50","-","2,27%"
"12.11.2020","3.916,50","3.979,34","3.981,86","3.916,50","-","-1,58%"
"11.11.2020","3.979,34","3.977,45","4.010,47","3.948,65","-","0,05%"
"10.11.2020","3.977,45","3.928,48","3.978,10","3.887,19","-","1,25%"
"09.11.2020","3.928,48","3.812,38","3.951,95","3.812,38","-","3,05%"
"06.11.2020","3.812,38","3.703,94","3.812,79","3.686,68","-","2,93%"
"05.11.2020","3.703,94","3.518,05","3.705,51","3.518,05","-","5,28%"
"04.11.2020","3.518,05","3.521,45","3.554,87","3.489,65","-","-0,10%"
"03.11.2020","3.521,45","3.571,13","3.601,44","3.506,29","-","-1,39%"
"02.11.2020","3.571,13","3.539,92","3.606,53","3.539,92","-","0,88%"
"30.10.2020","3.539,92","3.582,64","3.598,52","3.530,26","-","-1,19%"
"29.10.2020","3.582,64","3.629,48","3.636,44","3.574,45","-","-1,29%"
"28.10.2020","3.629,48","3.697,00","3.697,91","3.611,73","-","-1,83%"
"27.10.2020","3.697,00","3.705,99","3.751,63","3.675,47","-","-0,24%"
"26.10.2020","3.705,99","3.807,95","3.808,43","3.701,14","-","-2,68%"
"23.10.2020","3.807,95","3.811,29","3.831,40","3.799,49","-","-0,09%"
"22.10.2020","3.811,29","3.782,66","3.817,12","3.758,84","-","0,76%"
"21.10.2020","3.782,66","3.672,92","3.782,95","3.670,15","-","2,99%"
"20.10.2020","3.672,92","3.631,80","3.678,99","3.631,80","-","1,13%"
"19.10.2020","3.631,80","3.640,58","3.677,22","3.631,38","-","-0,24%"
"16.10.2020","3.640,58","3.661,72","3.674,64","3.628,76","-","-0,58%"
"15.10.2020","3.661,72","3.664,40","3.690,63","3.619,65","-","-0,07%"
"14.10.2020","3.664,40","3.654,69","3.666,27","3.640,43","-","0,27%"
"13.10.2020","3.654,69","3.677,45","3.690,67","3.636,54","-","-0,62%"
"09.10.2020","3.677,45","3.650,27","3.692,33","3.635,59","-","0,74%"
"08.10.2020","3.650,27","3.588,35","3.650,35","3.588,35","-","1,73%"
"07.10.2020","3.588,35","3.621,71","3.629,38","3.580,64","-","-0,92%"
"06.10.2020","3.621,71","3.675,83","3.682,93","3.612,85","-","-1,47%"
"05.10.2020","3.675,83","3.666,03","3.698,75","3.663,46","-","0,27%"
"02.10.2020","3.666,03","3.635,47","3.674,00","3.591,29","-","0,84%"
"01.10.2020","3.635,47","3.637,30","3.660,67","3.618,86","-","-0,05%"
"30.09.2020","3.637,30","3.555,32","3.637,30","3.555,32","-","2,31%"
"29.09.2020","3.555,32","3.595,39","3.595,40","3.539,67","-","-1,11%"
"28.09.2020","3.595,39","3.589,04","3.632,14","3.589,04","-","0,18%"
"25.09.2020","3.589,04","3.571,42","3.589,04","3.563,08","-","0,49%"
"24.09.2020","3.571,42","3.520,45","3.592,59","3.520,45","-","1,45%"
"23.09.2020","3.520,45","3.634,63","3.634,87","3.512,53","-","-3,14%"
"22.09.2020","3.634,63","3.643,85","3.678,01","3.634,63","-","-0,25%"
"21.09.2020","3.643,85","3.729,64","3.729,64","3.640,63","-","-2,30%"
"17.09.2020","3.729,64","3.717,06","3.729,64","3.678,60","-","0,34%"
"16.09.2020","3.717,06","3.721,71","3.723,14","3.696,64","-","-0,12%"
"15.09.2020","3.721,71","3.709,84","3.735,93","3.709,84","-","0,32%"
"14.09.2020","3.709,84","3.712,67","3.748,36","3.708,25","-","-0,08%"
"11.09.2020","3.712,67","3.687,17","3.715,52","3.657,85","-","0,69%"
"10.09.2020","3.687,17","3.771,72","3.782,86","3.673,07","-","-2,24%"
"09.09.2020","3.771,72","3.826,07","3.837,57","3.771,72","-","-1,42%"
"08.09.2020","3.826,07","3.854,21","3.854,21","3.814,18","-","-0,73%"
"07.09.2020","3.854,21","3.810,61","3.856,48","3.810,61","-","1,14%"
"04.09.2020","3.810,61","3.845,87","3.858,64","3.794,63","-","-0,92%"
"03.09.2020","3.845,87","3.814,95","3.845,90","3.795,08","-","0,81%"
"02.09.2020","3.814,95","3.752,95","3.828,91","3.752,95","-","1,65%"
"01.09.2020","3.752,95","3.767,15","3.790,75","3.737,54","-","-0,38%"
"31.08.2020","3.767,15","3.873,77","3.886,24","3.767,15","-","-2,75%"
"28.08.2020","3.873,77","3.887,80","3.921,54","3.868,09","-","-0,36%"
"27.08.2020","3.887,80","3.861,65","3.887,80","3.849,75","-","0,68%"
"26.08.2020","3.861,65","3.897,73","3.907,75","3.855,61","-","-0,93%"
"25.08.2020","3.897,73","3.962,37","3.973,03","3.885,75","-","-1,63%"
"24.08.2020","3.962,37","3.994,71","4.012,08","3.956,64","-","-0,81%"
"21.08.2020","3.994,71","3.977,97","3.994,87","3.967,79","-","0,42%"
"20.08.2020","3.977,97","3.998,80","3.998,80","3.967,14","-","-0,52%"
"19.08.2020","3.998,80","4.023,76","4.028,19","3.986,51","-","-0,62%"
"18.08.2020","4.023,76","4.041,02","4.051,68","4.004,07","-","-0,43%"
"17.08.2020","4.041,02","4.017,11","4.044,74","4.017,11","-","0,60%"
"14.08.2020","4.017,11","4.004,99","4.027,40","4.004,99","-","0,30%"
"13.08.2020","4.004,99","4.036,54","4.079,03","3.993,01","-","-0,78%"
"12.08.2020","4.036,54","4.000,25","4.044,89","4.000,25","-","0,91%"
"11.08.2020","4.000,25","3.984,09","4.026,26","3.984,09","-","0,41%"
"10.08.2020","3.984,09","3.988,90","4.026,54","3.983,86","-","-0,12%"
"07.08.2020","3.988,90","3.968,74","4.003,18","3.968,74","-","0,51%"
"06.08.2020","3.968,74","3.932,35","3.969,51","3.917,71","-","0,93%"
"05.08.2020","3.932,35","3.926,25","3.979,06","3.926,25","-","0,16%"
"04.08.2020","3.926,25","3.946,52","4.008,35","3.925,87","-","-0,51%"
"03.08.2020","3.946,52","4.017,08","4.017,08","3.946,52","-","-1,76%"
"31.07.2020","4.017,08","3.953,30","4.017,08","3.953,30","-","1,61%"
"30.07.2020","3.953,30","3.983,25","3.983,25","3.919,24","-","-0,75%"
"29.07.2020","3.983,25","4.055,59","4.055,59","3.969,25","-","-1,78%"
"28.07.2020","4.055,59","4.062,65","4.086,88","4.055,18","-","-0,17%"
"27.07.2020","4.062,65","4.014,88","4.071,46","4.014,88","-","1,19%"
"24.07.2020","4.014,88","3.984,28","4.029,43","3.956,48","-","0,77%"
"23.07.2020","3.984,28","3.944,82","4.026,37","3.940,04","-","1,00%"
"22.07.2020","3.944,82","3.887,28","3.966,92","3.865,31","-","1,48%"
"21.07.2020","3.887,28","3.924,61","3.938,53","3.882,87","-","-0,95%"
"20.07.2020","3.924,61","3.994,73","3.994,73","3.891,36","-","-1,76%"
"17.07.2020","3.994,73","4.041,62","4.047,76","3.968,61","-","-1,16%"
"15.07.2020","4.041,62","4.180,91","4.206,05","4.041,62","-","-3,33%"
"14.07.2020","4.180,91","4.115,28","4.181,06","4.081,60","-","1,59%"
"13.07.2020","4.115,28","4.029,40","4.142,33","4.029,40","-","2,13%"
"10.07.2020","4.029,40","4.032,15","4.043,42","3.999,82","-","-0,07%"
"09.07.2020","4.032,15","4.185,91","4.185,91","4.008,10","-","-3,67%"
"08.07.2020","4.185,91","4.257,67","4.259,50","4.135,14","-","-1,69%"
"07.07.2020","4.257,67","4.284,42","4.284,42","4.214,24","-","-0,62%"
"06.07.2020","4.284,42","4.202,17","4.310,22","4.202,17","-","1,96%"
"03.07.2020","4.202,17","4.177,89","4.224,38","4.172,17","-","0,58%"
"02.07.2020","4.177,89","4.037,07","4.179,43","4.037,07","-","3,49%"
"01.07.2020","4.037,07","3.959,02","4.046,39","3.959,02","-","1,97%"
"30.06.2020","3.959,02","3.990,95","4.009,83","3.959,02","-","-0,80%"
"26.06.2020","3.990,95","4.038,31","4.046,14","3.990,59","-","-1,17%"
"25.06.2020","4.038,31","4.036,23","4.050,91","4.005,23","-","0,05%"
"24.06.2020","4.036,23","4.031,73","4.046,84","4.001,36","-","0,11%"
"23.06.2020","4.031,73","3.998,52","4.031,73","3.974,34","-","0,83%"
"22.06.2020","3.998,52","4.026,79","4.042,47","3.975,62","-","-0,70%"
"19.06.2020","4.026,79","3.990,77","4.039,73","3.990,77","-","0,90%"
